"Date","Price","Open","High","Low","Vol.","Change %"
"May 02, 2020","10,875,000","10,764,000","10,927,000","10,654,000","1.23K","1.03%"
"May 01, 2020","10,764,000","10,461,000","11,037,000","10,445,000","1.67K","2.78%"
"Apr 30, 2020","10,473,000","10,538,000","11,428,000","10,279,000","3.26K","-0.62%"
"Apr 29, 2020","10,538,000","9,413,000","10,700,000","9,379,000","5.68K","11.93%"
"Apr 28, 2020","9,415,000","9,485,000","9,485,000","9,344,000","0.68K","-0.68%"
"Apr 27, 2020","9,479,000","9,365,000","9,486,000","9,307,000","1.14K","1.24%"
"Apr 26, 2020","9,363,000","9,163,000","9,363,000","9,150,000","1.22K","2.17%"
"Apr 25, 2020","9,164,000","9,100,000","9,254,000","9,053,000","0.82K","0.71%"
"Apr 24, 2020","9,099,000","9,056,000","9,229,000","8,999,000","0.71K","0.54%"
"Apr 23, 2020","9,050,000","8,644,000","9,168,000","8,564,000","2.66K","4.72%"
"Apr 22, 2020","8,642,000","8,406,000","8,670,000","8,390,000","0.99K","2.80%"
"Apr 21, 2020","8,407,000","8,385,000","8,496,000","8,310,000","0.86K","0.23%"
"Apr 20, 2020","8,388,000","8,660,000","8,727,000","8,350,000","2.26K","-3.14%"
"Apr 19, 2020","8,660,000","8,714,000","8,736,000","8,563,000","0.72K","-0.69%"
"Apr 18, 2020","8,720,000","8,523,000","8,754,000","8,515,000","1.18K","2.28%"
"Apr 17, 2020","8,526,000","8,561,000","8,605,000","8,480,000","0.84K","-0.40%"
"Apr 16, 2020","8,560,000","8,105,000","8,610,000","7,926,000","1.44K","5.54%"
"Apr 15, 2020","8,111,000","8,370,000","8,418,000","8,094,000","1.06K","-3.19%"
"Apr 14, 2020","8,378,000","8,376,000","8,464,000","8,270,000","0.81K","-0.12%"
"Apr 13, 2020","8,388,000","8,468,000","8,468,000","8,168,000","1.25K","-0.90%"
"Apr 12, 2020","8,464,000","8,460,000","8,750,000","8,343,000","1.91K","-0.01%"
"Apr 11, 2020","8,465,000","8,414,000","8,537,000","8,319,000","1.06K","0.62%"
"Apr 10, 2020","8,413,000","8,805,000","8,825,000","8,242,000","1.81K","-4.52%"
"Apr 09, 2020","8,811,000","8,820,000","8,852,000","8,644,000","0.88K","-0.19%"
"Apr 08, 2020","8,828,000","8,647,000","8,909,000","8,624,000","1.19K","2.07%"
"Apr 07, 2020","8,649,000","8,797,000","8,965,000","8,542,000","2.12K","-1.60%"
"Apr 06, 2020","8,790,000","8,184,000","8,799,000","8,184,000","3.05K","7.38%"
"Apr 05, 2020","8,186,000","8,250,000","8,275,000","8,106,000","0.92K","-0.76%"
"Apr 04, 2020","8,249,000","8,154,000","8,325,000","8,101,000","1.71K","1.20%"
"Apr 03, 2020","8,151,000","8,175,000","8,426,000","8,051,000","1.84K","-0.26%"
"Apr 02, 2020","8,172,000","8,067,000","8,499,000","7,986,000","6.34K","1.33%"
"Apr 01, 2020","8,065,000","7,795,000","8,082,000","7,534,000","3.25K","3.46%"
"Mar 31, 2020","7,795,000","7,793,000","7,976,000","7,740,000","1.08K","0.05%"
"Mar 30, 2020","7,791,000","7,219,000","8,019,000","7,201,000","2.90K","7.92%"
"Mar 29, 2020","7,219,000","7,652,000","7,684,000","7,219,000","2.07K","-5.70%"
"Mar 28, 2020","7,655,000","7,885,000","7,885,000","7,404,000","1.72K","-2.92%"
"Mar 27, 2020","7,885,000","8,274,000","8,355,000","7,823,000","1.90K","-4.68%"
"Mar 26, 2020","8,272,000","8,270,000","8,338,000","8,088,000","1.54K","0.00%"
"Mar 25, 2020","8,272,000","8,360,000","8,510,000","8,080,000","1.39K","-1.05%"
"Mar 24, 2020","8,360,000","8,049,000","8,399,000","7,901,000","2.73K","3.86%"
"Mar 23, 2020","8,049,000","7,376,000","8,152,000","7,234,000","3.84K","9.09%"
"Mar 22, 2020","7,378,000","7,743,000","7,969,000","7,333,000","3.32K","-4.69%"
"Mar 21, 2020","7,741,000","7,785,000","8,083,000","7,420,000","2.85K","-0.55%"
"Mar 20, 2020","7,784,000","7,673,000","8,630,000","7,358,000","7.32K","1.45%"
"Mar 19, 2020","7,673,000","6,738,000","8,114,000","6,616,000","8.89K","13.76%"
"Mar 18, 2020","6,745,000","6,770,000","6,890,000","6,372,000","3.31K","-0.49%"
"Mar 17, 2020","6,778,000","6,382,000","6,885,000","6,262,000","4.16K","6.20%"
"Mar 16, 2020","6,382,000","6,902,000","6,909,000","6,000,000","5.56K","-7.53%"
"Mar 15, 2020","6,902,000","6,822,000","7,298,000","6,660,000","4.42K","1.17%"
"Mar 14, 2020","6,822,000","7,283,000","7,288,000","6,607,000","2.31K","-6.11%"
"Mar 13, 2020","7,266,000","6,352,000","7,499,000","5,499,000","9.61K","14.44%"
"Mar 12, 2020","6,349,000","9,515,000","9,535,000","6,000,000","8.81K","-33.27%"
"Mar 11, 2020","9,514,000","9,550,000","9,605,000","9,133,000","1.82K","-0.35%"
"Mar 10, 2020","9,547,000","9,733,000","9,847,000","9,405,000","1.88K","-1.87%"
"Mar 09, 2020","9,729,000","9,864,000","10,045,000","9,349,000","2.07K","-1.36%"
"Mar 08, 2020","9,863,000","10,691,000","10,691,000","9,810,000","3.33K","-7.74%"
"Mar 07, 2020","10,690,000","10,854,000","10,971,000","10,637,000","1.13K","-1.51%"
"Mar 06, 2020","10,854,000","10,786,000","10,887,000","10,719,000","0.37K","0.66%"
"Mar 05, 2020","10,783,000","10,489,000","10,873,000","10,488,000","0.68K","2.77%"
"Mar 04, 2020","10,492,000","10,509,000","10,577,000","10,413,000","0.45K","-0.16%"
"Mar 03, 2020","10,509,000","10,673,000","10,681,000","10,406,000","0.99K","-1.62%"
"Mar 02, 2020","10,682,000","10,361,000","10,746,000","10,321,000","0.81K","3.14%"
"Mar 01, 2020","10,357,000","10,378,000","10,552,000","10,279,000","0.82K","-0.23%"
"Feb 29, 2020","10,381,000","10,558,000","10,637,000","10,375,000","0.40K","-1.68%"
"Feb 28, 2020","10,558,000","10,686,000","10,822,000","10,297,000","0.80K","-1.27%"
"Feb 27, 2020","10,694,000","10,727,000","10,859,000","10,298,000","0.96K","-0.33%"
"Feb 26, 2020","10,729,000","11,325,000","11,401,000","10,610,000","2.41K","-5.28%"
"Feb 25, 2020","11,327,000","11,625,000","11,643,000","11,279,000","1.06K","-2.56%"
"Feb 24, 2020","11,624,000","11,747,000","11,838,000","11,537,000","0.78K","-1.11%"
"Feb 23, 2020","11,754,000","11,486,000","11,800,000","11,476,000","0.61K","2.36%"
"Feb 22, 2020","11,483,000","11,500,000","11,530,000","11,397,000","0.28K","-0.14%"
"Feb 21, 2020","11,499,000","11,526,000","11,613,000","11,454,000","0.55K","-0.24%"
"Feb 20, 2020","11,527,000","11,422,000","11,585,000","11,350,000","0.90K","0.89%"
"Feb 19, 2020","11,425,000","11,835,000","11,955,000","11,357,000","2.60K","-3.37%"
"Feb 18, 2020","11,823,000","11,432,000","11,893,000","11,321,000","1.94K","3.46%"
"Feb 17, 2020","11,428,000","11,658,000","11,680,000","11,139,000","1.26K","-1.99%"
"Feb 16, 2020","11,660,000","11,500,000","11,760,000","11,325,000","1.70K","1.42%"
"Feb 15, 2020","11,497,000","11,864,000","11,887,000","11,486,000","2.22K","-3.07%"
"Feb 14, 2020","11,861,000","11,803,000","11,894,000","11,718,000","0.85K","0.53%"
"Feb 13, 2020","11,798,000","11,804,000","11,998,000","11,623,000","0.76K","-0.06%"
"Feb 12, 2020","11,805,000","11,783,000","11,910,000","11,752,000","1.10K","0.19%"
"Feb 11, 2020","11,783,000","11,528,000","11,930,000","11,280,000","1.82K","2.22%"
"Feb 10, 2020","11,527,000","11,837,000","11,867,000","11,403,000","0.71K","-2.62%"
"Feb 09, 2020","11,837,000","11,579,000","11,850,000","11,560,000","0.85K","2.22%"
"Feb 08, 2020","11,580,000","11,500,000","11,602,000","11,268,000","0.88K","0.70%"
"Feb 07, 2020","11,500,000","11,284,000","11,618,000","11,271,000","0.56K","2.03%"
"Feb 06, 2020","11,271,000","11,050,000","11,384,000","10,918,000","0.84K","2.00%"
"Feb 05, 2020","11,050,000","10,645,000","11,108,000","10,602,000","1.64K","3.89%"
"Feb 04, 2020","10,636,000","10,755,000","10,799,000","10,501,000","0.79K","-1.20%"
"Feb 03, 2020","10,765,000","10,760,000","10,978,000","10,735,000","0.67K","0.05%"
"Feb 02, 2020","10,760,000","10,816,000","10,875,000","10,673,000","0.54K","-0.62%"
"Feb 01, 2020","10,827,000","10,785,000","10,899,000","10,777,000","0.50K","0.44%"
"Jan 31, 2020","10,780,000","10,766,000","10,840,000","10,646,000","0.62K","0.04%"
"Jan 30, 2020","10,776,000","10,669,000","10,862,000","10,531,000","1.85K","0.95%"
"Jan 29, 2020","10,675,000","10,562,000","10,773,000","10,500,000","0.89K","0.96%"
"Jan 28, 2020","10,573,000","10,139,000","10,582,000","10,139,000","1.55K","4.36%"
"Jan 27, 2020","10,131,000","9,966,000","10,263,000","9,944,000","1.49K","1.75%"
"Jan 26, 2020","9,957,000","9,747,000","9,988,000","9,711,000","0.81K","2.28%"
"Jan 25, 2020","9,735,000","9,809,000","9,810,000","9,667,000","0.24K","-0.65%"
"Jan 24, 2020","9,799,000","9,761,000","9,881,000","9,624,000","0.45K","0.47%"
"Jan 23, 2020","9,753,000","9,925,000","9,929,000","9,620,000","0.83K","-1.75%"
"Jan 22, 2020","9,927,000","9,965,000","10,083,000","9,847,000","0.57K","-0.36%"
"Jan 21, 2020","9,963,000","9,842,000","10,012,000","9,788,000","1.17K","1.23%"
"Jan 20, 2020","9,842,000","9,911,000","9,953,000","9,771,000","0.71K","-0.64%"
"Jan 19, 2020","9,905,000","10,092,000","10,471,000","9,747,000","1.26K","-1.85%"
"Jan 18, 2020","10,092,000","9,993,000","10,158,000","9,939,000","1.01K","0.92%"
"Jan 17, 2020","10,000,000","9,787,000","10,214,000","9,727,000","1.15K","2.20%"
"Jan 16, 2020","9,785,000","9,729,000","9,840,000","9,565,000","0.73K","0.54%"
"Jan 15, 2020","9,732,000","9,705,000","9,915,000","9,531,000","1.60K","0.26%"
"Jan 14, 2020","9,707,000","9,170,000","9,801,000","9,170,000","3.97K","5.80%"
"Jan 13, 2020","9,175,000","9,218,000","9,225,000","9,100,000","0.35K","-0.47%"
"Jan 12, 2020","9,218,000","9,062,000","9,253,000","9,020,000","0.63K","1.70%"
"Jan 11, 2020","9,064,000","9,234,000","9,341,000","9,035,000","1.17K","-1.78%"
"Jan 10, 2020","9,228,000","8,941,000","9,260,000","8,750,000","2.33K","3.15%"
"Jan 09, 2020","8,946,000","9,095,000","9,127,000","8,886,000","1.18K","-1.65%"
"Jan 08, 2020","9,096,000","9,391,000","9,742,000","9,013,000","4.04K","-3.14%"
"Jan 07, 2020","9,391,000","8,856,000","9,436,000","8,855,000","2.85K","6.05%"
"Jan 06, 2020","8,855,000","8,461,000","8,883,000","8,455,000","1.26K","4.67%"
"Jan 05, 2020","8,460,000","8,477,000","8,633,000","8,430,000","0.69K","-0.22%"
"Jan 04, 2020","8,479,000","8,475,000","8,510,000","8,388,000","0.48K","0.08%"
"Jan 03, 2020","8,472,000","8,046,000","8,524,000","7,909,000","0.90K","5.29%"
"Jan 02, 2020","8,046,000","8,304,000","8,308,000","8,033,000","0.96K","-3.12%"
"Jan 01, 2020","8,305,000","8,309,000","8,362,000","8,289,000","0.32K","-0.04%"
"Dec 31, 2019","8,308,000","8,338,000","8,440,000","8,253,000","0.55K","-0.40%"
"Dec 30, 2019","8,341,000","8,489,000","8,498,000","8,330,000","0.48K","-1.76%"
"Dec 29, 2019","8,490,000","8,428,000","8,634,000","8,396,000","0.90K","0.77%"
"Dec 28, 2019","8,425,000","8,393,000","8,483,000","8,384,000","0.40K","0.39%"
"Dec 27, 2019","8,392,000","8,367,000","8,420,000","8,201,000","0.58K","0.27%"
"Dec 26, 2019","8,369,000","8,377,000","8,597,000","8,316,000","1.35K","-0.08%"
"Dec 25, 2019","8,376,000","8,450,000","8,469,000","8,314,000","0.85K","-0.90%"
"Dec 24, 2019","8,452,000","8,519,000","8,629,000","8,357,000","1.00K","-0.80%"
"Dec 23, 2019","8,520,000","8,689,000","8,893,000","8,457,000","2.10K","-1.89%"
"Dec 22, 2019","8,684,000","8,299,000","8,688,000","8,281,000","1.70K","4.63%"
"Dec 21, 2019","8,300,000","8,336,000","8,340,000","8,259,000","0.31K","-0.44%"
"Dec 20, 2019","8,337,000","8,320,000","8,397,000","8,249,000","0.40K","0.20%"
"Dec 19, 2019","8,320,000","8,470,000","8,588,000","8,218,000","0.46K","-1.77%"
"Dec 18, 2019","8,470,000","7,744,000","8,650,000","7,550,000","3.31K","9.35%"
"Dec 17, 2019","7,746,000","8,053,000","8,095,000","7,700,000","2.84K","-3.84%"
"Dec 16, 2019","8,055,000","8,324,000","8,335,000","8,010,000","3.25K","-3.23%"
"Dec 15, 2019","8,324,000","8,272,000","8,425,000","8,202,000","8.20K","0.63%"
"Dec 14, 2019","8,272,000","8,494,000","8,523,000","8,201,000","2.72K","-2.63%"
"Dec 13, 2019","8,495,000","8,434,000","8,575,000","8,408,000","6.87K","0.79%"
"Dec 12, 2019","8,428,000","8,485,000","8,562,000","8,375,000","3.38K","-0.66%"
"Dec 11, 2019","8,484,000","8,539,000","8,595,000","8,436,000","2.14K","-0.57%"
"Dec 10, 2019","8,533,000","8,678,000","8,729,000","8,480,000","1.84K","-1.67%"
"Dec 09, 2019","8,678,000","8,806,000","8,887,000","8,645,000","3.06K","-1.40%"
"Dec 08, 2019","8,801,000","8,787,000","8,850,000","8,680,000","4.29K","0.18%"
"Dec 07, 2019","8,785,000","8,810,000","8,889,000","8,772,000","0.56K","-0.40%"
"Dec 06, 2019","8,820,000","8,689,000","8,834,000","8,618,000","1.68K","1.47%"
"Dec 05, 2019","8,692,000","8,516,000","8,808,000","8,484,000","1.21K","2.03%"
"Dec 04, 2019","8,519,000","8,609,000","8,972,000","8,427,000","2.22K","-0.98%"
"Dec 03, 2019","8,603,000","8,602,000","8,701,000","8,550,000","0.72K","0.03%"
"Dec 02, 2019","8,600,000","8,683,000","8,729,000","8,457,000","0.73K","-0.96%"
"Dec 01, 2019","8,683,000","8,878,000","8,886,000","8,509,000","1.17K","-2.30%"
"Nov 30, 2019","8,887,000","9,080,000","9,126,000","8,759,000","1.24K","-2.08%"
"Nov 29, 2019","9,076,000","8,720,000","9,193,000","8,700,000","1.60K","4.08%"
"Nov 28, 2019","8,720,000","8,772,000","8,931,000","8,653,000","2.52K","-0.60%"
"Nov 27, 2019","8,773,000","8,410,000","8,956,000","8,053,000","4.52K","4.43%"
"Nov 26, 2019","8,401,000","8,335,000","8,626,000","8,251,000","1.34K","0.77%"
"Nov 25, 2019","8,337,000","8,204,000","8,650,000","7,686,000","2.71K","1.61%"
"Nov 24, 2019","8,205,000","8,672,000","8,694,000","8,164,000","2.61K","-5.37%"
"Nov 23, 2019","8,671,000","8,659,000","8,700,000","8,403,000","2.12K","0.05%"
"Nov 22, 2019","8,667,000","9,037,000","9,129,000","8,195,000","4.52K","-4.06%"
"Nov 21, 2019","9,034,000","9,483,000","9,532,000","8,931,000","3.10K","-4.71%"
"Nov 20, 2019","9,481,000","9,516,000","9,599,000","9,415,000","1.08K","-0.37%"
"Nov 19, 2019","9,516,000","9,587,000","9,612,000","9,364,000","1.04K","-0.77%"
"Nov 18, 2019","9,590,000","9,926,000","9,927,000","9,525,000","2.67K","-3.40%"
"Nov 17, 2019","9,928,000","9,929,000","10,050,000","9,829,000","2.24K","-0.01%"
"Nov 16, 2019","9,929,000","9,925,000","9,994,000","9,883,000","0.99K","0.08%"
"Nov 15, 2019","9,921,000","10,082,000","10,220,000","9,859,000","1.33K","-1.53%"
"Nov 14, 2019","10,075,000","10,222,000","10,242,000","10,039,000","2.88K","-1.37%"
"Nov 13, 2019","10,215,000","10,263,000","10,282,000","10,150,000","1.82K","-0.44%"
"Nov 12, 2019","10,260,000","10,162,000","10,304,000","10,010,000","1.68K","0.93%"
"Nov 11, 2019","10,165,000","10,498,000","10,512,000","10,075,000","0.79K","-3.17%"
"Nov 10, 2019","10,498,000","10,251,000","10,600,000","10,170,000","1.89K","2.39%"
"Nov 09, 2019","10,253,000","10,210,000","10,313,000","10,171,000","0.68K","0.41%"
"Nov 08, 2019","10,211,000","10,672,000","10,718,000","10,101,000","2.68K","-4.31%"
"Nov 07, 2019","10,671,000","10,749,000","10,793,000","10,560,000","2.64K","-0.73%"
"Nov 06, 2019","10,749,000","10,763,000","10,844,000","10,710,000","2.09K","-0.10%"
"Nov 05, 2019","10,760,000","10,851,000","10,927,000","10,670,000","2.99K","-0.91%"
"Nov 04, 2019","10,859,000","10,782,000","10,993,000","10,650,000","2.53K","0.82%"
"Nov 03, 2019","10,771,000","10,843,000","10,954,000","10,650,000","1.37K","-0.70%"
"Nov 02, 2019","10,847,000","10,798,000","10,959,000","10,751,000","1.69K","0.47%"
"Nov 01, 2019","10,796,000","10,702,000","10,851,000","10,602,000","1.44K","0.92%"
"Oct 31, 2019","10,698,000","10,704,000","10,980,000","10,505,000","1.30K","0.02%"
"Oct 30, 2019","10,696,000","10,888,000","10,904,000","10,514,000","1.33K","-1.77%"
"Oct 29, 2019","10,889,000","10,728,000","11,066,000","10,624,000","2.51K","1.53%"
"Oct 28, 2019","10,725,000","10,993,000","11,347,000","10,719,000","1.87K","-2.38%"
"Oct 27, 2019","10,987,000","10,732,000","11,271,000","10,556,000","5.01K","2.40%"
"Oct 26, 2019","10,729,000","10,053,000","11,908,000","10,025,000","3.49K","6.76%"
"Oct 25, 2019","10,050,000","8,739,000","10,129,000","8,716,000","8.24K","14.87%"
"Oct 24, 2019","8,749,000","8,834,000","8,868,000","8,644,000","0.86K","-0.97%"
"Oct 23, 2019","8,835,000","9,469,000","9,534,000","8,693,000","2.14K","-6.72%"
"Oct 22, 2019","9,471,000","9,663,000","9,774,000","9,452,000","1.14K","-2.03%"
"Oct 21, 2019","9,667,000","9,712,000","9,800,000","9,616,000","0.93K","-0.41%"
"Oct 20, 2019","9,707,000","9,443,000","9,814,000","9,375,000","1.84K","2.78%"
"Oct 19, 2019","9,444,000","9,437,000","9,565,000","9,357,000","0.83K","0.06%"
"Oct 18, 2019","9,438,000","9,559,000","9,630,000","9,352,000","0.78K","-1.31%"
"Oct 17, 2019","9,563,000","9,523,000","9,632,000","9,460,000","1.13K","0.44%"
"Oct 16, 2019","9,521,000","9,715,000","9,749,000","9,445,000","1.51K","-1.95%"
"Oct 15, 2019","9,710,000","9,877,000","9,942,000","9,677,000","2.62K","-1.67%"
"Oct 14, 2019","9,875,000","9,811,000","9,905,000","9,740,000","1.48K","0.58%"
"Oct 13, 2019","9,818,000","9,879,000","9,998,000","9,733,000","1.51K","-0.63%"
"Oct 12, 2019","9,880,000","9,823,000","9,970,000","9,809,000","0.62K","0.61%"
"Oct 11, 2019","9,820,000","10,173,000","10,426,000","9,800,000","1.37K","-3.42%"
"Oct 10, 2019","10,168,000","10,188,000","10,301,000","10,034,000","1.35K","-0.21%"
"Oct 09, 2019","10,189,000","9,725,000","10,299,000","9,671,000","3.36K","4.69%"
"Oct 08, 2019","9,733,000","9,751,000","9,928,000","9,669,000","1.01K","-0.14%"
"Oct 07, 2019","9,747,000","9,430,000","9,891,000","9,307,000","1.88K","3.41%"
"Oct 06, 2019","9,426,000","9,733,000","9,757,000","9,366,000","1.80K","-3.08%"
"Oct 05, 2019","9,726,000","9,750,000","9,792,000","9,583,000","0.77K","-0.25%"
"Oct 04, 2019","9,750,000","9,938,000","9,938,000","9,674,000","1.01K","-1.84%"
"Oct 03, 2019","9,933,000","10,085,000","10,134,000","9,782,000","1.15K","-1.51%"
"Oct 02, 2019","10,085,000","10,002,000","10,094,000","9,810,000","1.27K","0.90%"
"Oct 01, 2019","9,995,000","9,960,000","10,239,000","9,799,000","1.96K","0.34%"
"Sep 30, 2019","9,961,000","9,677,000","9,984,000","9,273,000","2.91K","2.95%"
"Sep 29, 2019","9,676,000","9,886,000","9,913,000","9,547,000","1.26K","-2.11%"
"Sep 28, 2019","9,885,000","9,830,000","9,977,000","9,643,000","1.87K","0.53%"
"Sep 27, 2019","9,833,000","9,697,000","9,910,000","9,439,000","2.76K","1.36%"
"Sep 26, 2019","9,701,000","10,144,000","10,201,000","9,367,000","5.33K","-4.36%"
"Sep 25, 2019","10,143,000","10,212,000","10,580,000","9,815,000","3.18K","-0.69%"
"Sep 24, 2019","10,213,000","11,536,000","11,679,000","9,715,000","12.86K","-11.46%"
"Sep 23, 2019","11,535,000","11,931,000","11,959,000","11,483,000","2.46K","-3.32%"
"Sep 22, 2019","11,931,000","11,887,000","11,987,000","11,730,000","0.67K","0.35%"
"Sep 21, 2019","11,889,000","12,077,000","12,081,000","11,808,000","0.61K","-1.56%"
"Sep 20, 2019","12,078,000","12,187,000","12,217,000","11,993,000","0.77K","-0.93%"
"Sep 19, 2019","12,191,000","12,052,000","12,251,000","11,575,000","2.04K","1.17%"
"Sep 18, 2019","12,050,000","12,064,000","12,154,000","12,010,000","0.77K","-0.10%"
"Sep 17, 2019","12,062,000","12,131,000","12,145,000","11,992,000","1.39K","-0.57%"
"Sep 16, 2019","12,131,000","12,175,000","12,260,000","11,953,000","0.84K","-0.39%"
"Sep 15, 2019","12,178,000","12,256,000","12,280,000","12,146,000","0.31K","-0.69%"
"Sep 14, 2019","12,263,000","12,315,000","12,335,000","12,180,000","0.83K","-0.41%"
"Sep 13, 2019","12,313,000","12,432,000","12,449,000","12,125,000","1.08K","-0.95%"
"Sep 12, 2019","12,431,000","12,169,000","12,468,000","12,038,000","1.36K","2.12%"
"Sep 11, 2019","12,173,000","12,073,000","12,249,000","11,866,000","1.07K","0.84%"
"Sep 10, 2019","12,072,000","12,265,000","12,340,000","11,957,000","1.38K","-1.65%"
"Sep 09, 2019","12,274,000","12,369,000","12,486,000","12,000,000","1.25K","-0.87%"
"Sep 08, 2019","12,382,000","12,486,000","12,582,000","12,279,000","0.71K","-0.73%"
"Sep 07, 2019","12,473,000","12,342,000","12,598,000","12,340,000","1.42K","1.02%"
"Sep 06, 2019","12,347,000","12,639,000","13,000,000","12,300,000","3.91K","-2.37%"
"Sep 05, 2019","12,647,000","12,649,000","12,748,000","12,550,000","1.13K","-0.02%"
"Sep 04, 2019","12,650,000","12,720,000","12,897,000","12,436,000","2.05K","-0.53%"
"Sep 03, 2019","12,718,000","12,445,000","12,960,000","12,312,000","3.10K","2.17%"
"Sep 02, 2019","12,448,000","11,779,000","12,556,000","11,740,000","8.74K","5.68%"
"Sep 01, 2019","11,779,000","11,616,000","11,858,000","11,555,000","9.60K","1.42%"
"Aug 31, 2019","11,614,000","11,663,000","11,728,000","11,510,000","5.23K","-0.41%"
"Aug 30, 2019","11,662,000","11,538,000","11,769,000","11,397,000","16.70K","1.07%"
"Aug 29, 2019","11,539,000","11,791,000","11,791,000","11,380,000","4.15K","-2.14%"
"Aug 28, 2019","11,791,000","12,237,000","12,312,000","11,700,000","3.15K","-3.59%"
"Aug 27, 2019","12,230,000","12,430,000","12,449,000","12,095,000","0.57K","-1.59%"
"Aug 26, 2019","12,428,000","12,223,000","12,666,000","12,223,000","0.85K","1.66%"
"Aug 25, 2019","12,225,000","12,217,000","12,399,000","12,015,000","0.86K","0.21%"
"Aug 24, 2019","12,199,000","12,464,000","12,472,000","11,988,000","0.65K","-2.13%"
"Aug 23, 2019","12,465,000","12,226,000","12,532,000","12,148,000","0.87K","1.95%"
"Aug 22, 2019","12,226,000","12,306,000","12,444,000","11,857,000","0.89K","-0.63%"
"Aug 21, 2019","12,303,000","12,307,000","12,420,000","12,053,000","1.21K","-2.84%"
"Aug 18, 2019","12,663,000","12,429,000","12,730,000","12,234,000","3.79K","1.88%"
"Aug 17, 2019","12,429,000","12,572,000","12,720,000","12,210,000","4.07K","-1.14%"
"Aug 16, 2019","12,572,000","12,620,000","12,852,000","11,939,000","10.23K","-0.38%"
"Aug 15, 2019","12,620,000","12,210,000","12,774,000","11,509,000","12.74K","3.48%"
"Aug 14, 2019","12,196,000","13,152,000","13,152,000","12,100,000","9.11K","-7.24%"
"Aug 13, 2019","13,148,000","13,701,000","13,740,000","12,982,000","5.22K","-4.04%"
"Aug 12, 2019","13,702,000","13,877,000","13,920,000","13,566,000","2.34K","-1.36%"
"Aug 11, 2019","13,891,000","13,691,000","13,926,000","13,430,000","3.57K","1.47%"
"Aug 10, 2019","13,690,000","14,254,000","14,330,000","13,581,000","5.92K","-3.96%"
"Aug 09, 2019","14,254,000","14,253,000","14,300,000","14,000,000","5.17K","0.03%"
"Aug 08, 2019","14,250,000","14,203,000","14,316,000","13,825,000","6.30K","0.45%"
"Aug 07, 2019","14,186,000","13,789,000","14,392,000","13,545,000","10.04K","2.88%"
"Aug 06, 2019","13,789,000","14,186,000","14,550,000","13,415,000","13.52K","-2.78%"
"Aug 05, 2019","14,184,000","12,969,000","14,237,000","12,953,000","10.87K","9.37%"
"Aug 04, 2019","12,969,000","12,784,000","13,049,000","12,462,000","5.53K","1.39%"
"Aug 03, 2019","12,791,000","12,586,000","12,888,000","12,542,000","4.10K","1.63%"
"Aug 02, 2019","12,586,000","12,300,000","12,770,000","12,216,000","5.59K","2.33%"
"Aug 01, 2019","12,300,000","11,968,000","12,412,000","11,678,000","5.38K","2.77%"
"Jul 31, 2019","11,968,000","11,343,000","11,969,000","11,320,000","6.00K","5.51%"
"Jul 30, 2019","11,343,000","11,277,000","11,497,000","11,141,000","3.22K","0.59%"
"Jul 29, 2019","11,277,000","11,330,000","11,550,000","11,150,000","3.66K","-0.31%"
"Jul 28, 2019","11,312,000","11,307,000","11,418,000","11,000,000","3.53K","0.04%"
"Jul 27, 2019","11,307,000","11,668,000","12,017,000","11,150,000","6.31K","-3.09%"
"Jul 26, 2019","11,668,000","11,740,000","11,740,000","11,453,000","3.15K","-0.61%"
"Jul 25, 2019","11,740,000","11,610,000","12,107,000","11,565,000","4.81K","1.12%"
"Jul 24, 2019","11,610,000","11,800,000","11,815,000","11,340,000","7.03K","-1.59%"
"Jul 23, 2019","11,798,000","12,325,000","12,326,000","11,760,000","5.72K","-4.28%"
"Jul 22, 2019","12,325,000","12,582,000","12,684,000","12,100,000","4.82K","-2.04%"
"Jul 21, 2019","12,582,000","12,778,000","12,840,000","12,299,000","5.35K","-1.53%"
"Jul 20, 2019","12,777,000","12,534,000","13,108,000","12,410,000","7.47K","1.94%"
"Jul 19, 2019","12,534,000","12,653,000","12,788,000","12,200,000","9.45K","-0.94%"
"Jul 18, 2019","12,653,000","11,643,000","12,800,000","11,095,000","16.19K","8.67%"
"Jul 17, 2019","11,643,000","11,403,000","12,000,000","10,891,000","19.21K","1.91%"
"Jul 16, 2019","11,425,000","13,190,000","13,400,000","11,301,000","16.09K","-13.37%"
"Jul 15, 2019","13,189,000","12,415,000","13,451,000","11,886,000","14.84K","6.21%"
"Jul 14, 2019","12,418,000","13,808,000","13,850,000","12,376,000","12.24K","-10.16%"
"Jul 13, 2019","13,822,000","14,194,000","14,255,000","13,401,000","6.25K","-2.55%"
"Jul 12, 2019","14,184,000","13,787,000","14,296,000","13,248,000","11.15K","2.93%"
"Jul 11, 2019","13,780,000","14,622,000","14,636,000","13,482,000","16.94K","-5.76%"
"Jul 10, 2019","14,622,000","14,940,000","15,542,000","14,012,000","17.21K","-2.13%"
"Jul 09, 2019","14,940,000","14,574,000","15,175,000","14,433,000","12.17K","2.50%"
"Jul 08, 2019","14,576,000","13,649,000","14,722,000","13,503,000","9.35K","6.79%"
"Jul 07, 2019","13,649,000","13,602,000","13,775,000","13,403,000","4.25K","0.35%"
"Jul 06, 2019","13,602,000","13,346,000","13,980,000","13,340,000","6.92K","1.92%"
